feature,importance
Adult's Education,0.0001635677962099329
Amh Language,0.0010298802858876171
Irrigated Land,0.0012380023460748072
Expend,0.0023789521972664585
English Language,0.0029883308271314427
Afm Language,0.005234104127095571
Child's Education,0.005251890895451126
Child's Activity,0.009375539832245514
Knows VIP,0.010036539771526593
Age (z),0.01239973213160618
Trust in VIP,0.014739511852092527
Household Moved,0.016042308411166377
Owns Phone,0.01655273836590873
Number of Adults in HH (z),0.018998647964409848
Religion,0.020434753790654306
Number of Minors in HH (z),0.021273981880317122
Owns Agricultural Land,0.023190929435387517
Main Information Source,0.04050066111795466
Household Status,0.04389558102764299
Reason Non-Purchase,0.05865982494549585
