feature,importance
Afm Language,0.0
Amh Language,0.0
Adult's Education,0.0008602671127998948
Irrigated Land,0.002599607828672918
Expend,0.0029909782545223026
English Language,0.0033534810859007047
Child's Education,0.006040714279661898
Household Moved,0.007733477535032982
Knows VIP,0.010805258093827591
Owns Phone,0.011300409501467297
Age (z),0.012081496061334355
Number of Adults in HH (z),0.018137482698436135
Child's Activity,0.02096379509394793
Trust in VIP,0.02229230133861741
Number of Minors in HH (z),0.02312085420996537
Owns Agricultural Land,0.023230611330855033
Main Information Source,0.03235897395928458
Religion,0.03566969331372925
Household Status,0.04509796168945231
Reason Non-Purchase,0.06422931522770768
"Trust in VIP, Comp. Score (z)",0.06955352832816872
