feature,importance
Afm Language,0.0
Amh Language,0.0
Irrigated Land,0.0
Child's Activity,0.0
English Language,0.0003096095279692919
Child's Education,0.0009015175923692926
Owns Agricultural Land,0.0015438715729950176
Number of Adults in HH (z),0.0019660242824370722
Adult's Education,0.001999243794658736
Religion,0.002009937775604802
Household Moved,0.00584420448999967
Expend,0.005918551619783799
Owns Phone,0.006504151466856649
Knows VIP,0.008967465814769388
Number of Minors in HH (z),0.02028469113390107
Trust in VIP,0.02620931265932905
Age (z),0.029130494483923918
Household Status,0.03450395328220753
Reason Non-Purchase,0.06426810288094736
Main Information Source,0.07107567014982974
