feature,importance
Afm Language,0.0
English Language,0.0
Child's Activity,0.0
Amh Language,0.00013754058326145008
Adult's Education,0.0016473691693760307
Irrigated Land,0.002059596456050509
Religion,0.003717505377585762
Child's Education,0.0038883244786867524
Owns Phone,0.005872288312833441
Expend,0.006314646116559893
Number of Adults in HH (z),0.007705253376847219
Owns Agricultural Land,0.0077702992769688286
Household Moved,0.0088241974486468
Knows VIP,0.011303639710824221
Number of Minors in HH (z),0.02410251032245309
Trust in VIP,0.027629724100324084
Age (z),0.0425562459781584
Household Status,0.04290529780340154
"Trust in VIP, Comp. Score (z)",0.04626028650511097
Reason Non-Purchase,0.06644314799283176
Main Information Source,0.06917176767437189
