feature,importance
Expend,0.0
Child's Education,0.0
Irrigated Land,0.0
Afm Language,0.0
Amh Language,0.0
English Language,0.0019801573036082832
Knows VIP,0.004304884460597211
Household Moved,0.005084921898127783
Age (z),0.0052411309578398865
Trust in VIP,0.007015066578408558
Household Status,0.007687259519132131
Adult's Education,0.00877510333299129
Owns Phone,0.02016909625518951
Number of Adults in HH (z),0.02395153916801358
Number of Minors in HH (z),0.028702590495183044
Child's Activity,0.02901096582187357
Religion,0.03129237919815816
Owns Agricultural Land,0.03551221652054495
Main Information Source,0.04286272356570259
Reason Non-Purchase,0.060957271241419385
