feature,importance
Expend,0.0
Afm Language,0.0
Amh Language,0.0
Irrigated Land,0.00013527640726146656
English Language,0.004537697023405059
Age (z),0.004775503530194589
Household Moved,0.006346957304974377
Household Status,0.007956918877267766
Knows VIP,0.00955368121656132
Child's Education,0.013058218489128842
Adult's Education,0.013193066274534792
Trust in VIP,0.014705971966564459
Number of Adults in HH (z),0.014760979856019657
Owns Phone,0.019915309007886368
Number of Minors in HH (z),0.022643277911198266
Main Information Source,0.039166820907989605
Religion,0.04164809149964021
Owns Agricultural Land,0.04826511110850142
Child's Activity,0.05225202779030674
Reason Non-Purchase,0.07252987030465281
Trust in VIP Comp. Score (z),0.08639051621345054
