feature,importance
English Language,0.0
Child's Education,0.0
Amh Language,0.0
Afm Language,0.0
Number of Adults in HH (z),0.0
Irrigated Land,0.000329475049091396
Knows VIP,0.0024608565240856503
Religion,0.0026344490092374048
Owns Agricultural Land,0.0044685359653144005
Household Status,0.010509182187612426
Expend,0.013393577734822897
Adult's Education,0.014314249501354761
Trust in VIP,0.017179157454963206
Household Moved,0.02053676609546337
Owns Phone,0.02178034325420043
Number of Minors in HH (z),0.0328897242605479
Child's Activity,0.03745369570192385
Age (z),0.04253395292446987
Reason Non-Purchase,0.10345150853145228
Main Information Source,0.11647073944477786
