feature,importance
Irrigated Land,0.0
Number of Adults in HH (z),0.0
Child's Education,0.0
English Language,0.0
Amh Language,0.0
Afm Language,0.0
Religion,0.0014082029278359798
Knows VIP,0.0027512840858650613
Owns Agricultural Land,0.005917879255939947
Household Status,0.008960835138320987
Expend,0.013049488725737897
Adult's Education,0.015919997228324365
Household Moved,0.017792819692104115
Owns Phone,0.021114934104198946
Trust in VIP,0.023217437709938595
Number of Minors in HH (z),0.026684240259868534
Child's Activity,0.03571451749951847
Age (z),0.04327248806718454
"Trust in VIP, Comp. Score (z)",0.05452859506751235
Reason Non-Purchase,0.09724458563482137
Main Information Source,0.10064905144225454
