feature,importance
Amh Language,0.00196798911884505
Irrigated Land,0.002678117598654461
English Language,0.0040780883309685274
Expend,0.0048326180031654465
Afm Language,0.00516208732621394
Knows VIP,0.008625073353386909
Child's Education,0.010733458856531196
Trust in VIP,0.012991029194258623
Household Moved,0.01519567737491496
Age (z),0.015603112738810205
Owns Phone,0.015795413809357745
Number of Adults in HH (z),0.01908976381380662
Owns Agricultural Land,0.020745191122971882
Household Status,0.023670436013400874
Adult's Education,0.024435108679384365
Number of Minors in HH (z),0.02472143665662663
Religion,0.026968372562818223
Main Information Source,0.029473175959081766
Child's Activity,0.03307500359529217
Reason Non-Purchase,0.04735934847496318
