feature,importance
Amh Language,0.0015477077433093138
Irrigated Land,0.0023573443621245885
English Language,0.002677400791192856
Afm Language,0.003442799329752303
Expend,0.0035126891901339605
Child's Education,0.009441015429523704
Knows VIP,0.011852400450252936
Owns Phone,0.014871335126440836
Adult's Education,0.018858270324268105
Trust in VIP,0.020098156344566666
Religion,0.02138431007871489
Household Moved,0.021915698587523583
Age (z),0.02272680142845661
Number of Adults in HH (z),0.027651416480058626
Owns Agricultural Land,0.02855257116322234
Household Status,0.028650676748164815
Number of Minors in HH (z),0.031878424731643526
Main Information Source,0.03460866803458661
Child's Activity,0.03856843321738412
Reason Non-Purchase,0.0688870487287402
"Trust in VIP, Comp. Score (z)",0.07157824186353111
