feature,importance
Amh Language,0.0013278462783757107
English Language,0.0013825330970918845
Irrigated Land,0.0014831633892418592
Afm Language,0.002395335757600478
Owns Agricultural Land,0.006894857638370807
Child's Education,0.007583252775775119
Owns Phone,0.008946868164395981
Knows VIP,0.009284675105106313
Expend,0.012674098904518724
Religion,0.012856900546970916
Number of Adults in HH (z),0.012961906084162141
Household Moved,0.016386504345702393
Child's Activity,0.018383158949755254
Trust in VIP,0.02000951756579284
Adult's Education,0.020170958701748877
Household Status,0.020207163481897945
Number of Minors in HH (z),0.026978314691414495
Age (z),0.03023160896883093
Main Information Source,0.04452431317167544
Reason Non-Purchase,0.05703039979634957
