feature,importance
English Language,0.0016435583644825037
Irrigated Land,0.0023513645820761784
Amh Language,0.002827130822640427
Afm Language,0.00296074702888381
Owns Agricultural Land,0.0060937301761500254
Child's Education,0.0070216434425316825
Knows VIP,0.008492244457500317
Religion,0.008558666182123956
Expend,0.011105002517648857
Owns Phone,0.012208345123347106
Number of Adults in HH (z),0.013957496438190093
Household Moved,0.019373117370454048
Adult's Education,0.019599338376948078
Child's Activity,0.019997760021179763
Household Status,0.023656439581722703
Trust in VIP,0.026895266735466085
Number of Minors in HH (z),0.029304470324341386
Age (z),0.0396571196008099
Main Information Source,0.03971278702870936
"Trust in VIP, Comp. Score (z)",0.055109905726047057
Reason Non-Purchase,0.06833499400824897
