feature,importance
Afm Language,0.0
Amh Language,0.00020518532294712426
Age (z),0.00047081919821134375
English Language,0.0007802186845850634
Irrigated Land,0.0008525096053129542
Household Status,0.006996623221515419
Household Moved,0.00814805534797486
Expend,0.008724743745463582
Knows VIP,0.00981338081472616
Child's Education,0.016243306522167763
Number of Minors in HH (z),0.02244813484871633
Adult's Education,0.02287329325584891
Owns Agricultural Land,0.025770708020109955
Religion,0.02612007173703918
Number of Adults in HH (z),0.026176860580938224
Trust in VIP,0.028640942756805704
Child's Activity,0.035432407447512554
Owns Phone,0.039467134491740795
Reason Non-Purchase,0.05130879877421075
Main Information Source,0.05225275797790061
