feature,importance
Afm Language,0.0
Irrigated Land,0.0012116602976975047
Age (z),0.0012556105895149368
Amh Language,0.0023390349486196393
Household Status,0.0047944997571305855
English Language,0.005893729619606662
Expend,0.005914765893147982
Household Moved,0.010704325838960561
Number of Minors in HH (z),0.013776473975292736
Number of Adults in HH (z),0.015486148409708418
Knows VIP,0.01622375007164367
Adult's Education,0.017594128582938576
Child's Education,0.0303994852741593
Owns Agricultural Land,0.03212297015605262
Owns Phone,0.032412680943106495
Religion,0.03644795844844318
Trust in VIP,0.04163631373920256
Main Information Source,0.055024802125866155
Child's Activity,0.058144604781516625
Reason Non-Purchase,0.06875015868345975
"Trust in VIP, Comp. Score (z)",0.08676146898774348
