feature,importance
English Language,0.0
Amh Language,0.0003109010422796914
Owns Agricultural Land,0.0009632900760383118
Knows VIP,0.0012072286303319796
Irrigated Land,0.0017832473155068532
Child's Education,0.0037320192295227424
Household Status,0.004701344986899314
Number of Adults in HH (z),0.0054811909469715545
Trust in VIP,0.00564069974614946
Religion,0.008057851072385698
Household Moved,0.011011258471924953
Afm Language,0.011992089511123329
Adult's Education,0.018803310933140024
Child's Activity,0.02395382768589595
Expend,0.02454634060337611
Number of Minors in HH (z),0.02685466842281836
Owns Phone,0.03303838362810769
Age (z),0.03346385182815828
Main Information Source,0.06766160688545617
Reason Non-Purchase,0.08307358296778769
