feature,importance
Amh Language,0.0
Irrigated Land,0.0014428192373343485
English Language,0.0014655374116085964
Child's Education,0.001743332283746374
Knows VIP,0.002275181804588553
Owns Agricultural Land,0.003036244666869746
Household Status,0.0059806158237195985
Trust in VIP,0.006867455197120767
Household Moved,0.009536509522786518
Number of Adults in HH (z),0.009636091955236091
Religion,0.011554735433141282
Afm Language,0.01491502588508441
Expend,0.016056948236191235
Adult's Education,0.022443357060263697
Child's Activity,0.02450521157865211
Number of Minors in HH (z),0.02695199522147453
Age (z),0.02799505666071176
Owns Phone,0.0302741956270015
"Trust in VIP, Comp. Score (z)",0.06558498971814539
Main Information Source,0.06643891164468091
Reason Non-Purchase,0.09179506211650565
